in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
3.77952e-05,0.00116373,4.65152e-06,0.00509265,4.35885e-06,0.00510791
3.81919e-05,0.00116325,4.28132e-06,0.0050917,4.07992e-06,0.00510696
3.8719e-05,0.00116325,4.6762e-06,0.0050917,4.67434e-06,0.00510648
3.84545e-05,0.00116337,3.88877e-06,0.00509265,4.93255e-06,0.005106
3.74375e-05,0.00116325,4.37911e-06,0.00509265,5.46084e-06,0.00510648
3.77151e-05,0.0011623,4.28132e-06,0.00509265,5.46084e-06,0.00510696
3.80336e-05,0.00116277,4.54581e-06,0.00509265,5.43313e-06,0.00510648
3.81938e-05,0.00116301,5.01474e-06,0.00509265,5.1833e-06,0.00510648
3.80001e-05,0.00116301,4.42986e-06,0.0050917,5.46084e-06,0.005106
3.80299e-05,0.00116337,4.43685e-06,0.0050917,5.46084e-06,0.005106
