currents,power,errors
300,1.2766103960000003e-07,4.907392665787685e-09
320,6.286780408400001e-06,8.829344357187397e-07
340,2.4254876412e-05,2.84795212114029e-06
360,5.133203477600001e-05,6.060854618383629e-06
380,9.973491712400001e-05,1.006615072136546e-05
400,0.00016877752251997998,1.0776389788197636e-05
420,0.00025405150544,1.6459203887941845e-05
440,0.00035239405236,2.1518863589074857e-05
460,0.00045805686171999997,2.2660029288917557e-05
480,0.00057732928092,1.1504010251511268e-05
500,0.0007217880778799601,8.081707068856952e-06
520,0.00086507448927996,1.0304727884783238e-05
540,0.0010578340424,8.355863146298995e-06
560,0.0013624640508000001,6.1425862766125895e-06
580,0.0016096379235999603,1.0320889226414051e-05
600,0.0018858645388,1.265557160174505e-05
620,0.0021520386735999998,2.189824674570096e-05
640,0.0024238704431999796,3.012058721005545e-05
660,0.0026831475088,1.5407386680454133e-05
680,0.00297300225199998,2.881660307350933e-06
700,0.0030989880015999797,6.769200393782038e-05
720,0.0035791192759999798,0.00014274991504798875
740,0.00402132355679998,0.00012957762954311916
760,0.004451760389199999,4.7384969985597586e-05
780,0.00484861569519996,2.5838726567087875e-05
